Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,Ref-X(mil),Ref-Y(mil),Pad-X(mil),Pad-Y(mil)
S5,拨码开关,BottomLayer,SW_SMT4,560,470,90,"SMT Switch, 4 Position, SPST",560,470,429.096,445
R23,5.1KΩ,BottomLayer,0402_R,1000,-515,270,贴片电阻,1000,-515,1000,-498.268
S4,Button,BottomLayer,SKRKAHE020,-415.157,604.173,180,Button,-415.157,604.173,-320.669,604.173
S3,Button,BottomLayer,SKRKAHE020,-824.331,604.173,0,Button,-824.331,604.173,-918.819,604.173
R46,1KΩ,BottomLayer,0402_R,-31.023,556.024,90,贴片电阻,-31.024,556.024,-31.023,539.291
R45,1KΩ,BottomLayer,0402_R,-101.023,556.024,90,贴片电阻,-101.024,556.024,-101.023,539.291
R44,10K,BottomLayer,0402_R,-258.504,620.748,90,贴片电阻,-258.504,620.748,-258.504,604.016
R43,10K,BottomLayer,0402_R,-983.386,620.748,90,贴片电阻,-983.386,620.748,-983.386,604.016
D10,蓝灯 0603,BottomLayer,0603_LED_S1,-31.024,431.024,90,发光二极管,-31.024,431.024,-31.024,461.339
D9,蓝灯 0603,BottomLayer,0603_LED_S1,-101.024,431.024,90,发光二极管,-101.024,431.024,-101.024,461.339
C40,100nF/16V,BottomLayer,0402_C,-412.047,502.205,0,贴片电容,-412.047,502.205,-428.779,502.205
C39,100nF/16V,BottomLayer,0402_C,-823.386,502.205,180,贴片电容,-823.386,502.205,-806.654,502.205
R42,1KΩ,BottomLayer,0402_R,853.425,673.622,180,贴片电阻,853.425,673.622,870.157,673.622
R41,1KΩ,BottomLayer,0402_R,1193.425,673.622,180,贴片电阻,1193.425,673.622,1210.157,673.622
D8,蓝灯 0603,BottomLayer,0603_LED_S1,978.425,673.622,180,发光二极管,978.425,673.622,948.11,673.622
D7,蓝灯 0603,BottomLayer,0603_LED_S1,1318.425,673.622,180,发光二极管,1318.425,673.622,1288.11,673.622
U8,AT24CxxC-SS,BottomLayer,SOIC-8-39mm,-354.685,-356.142,180,Serial EEPROM,-354.685,-356.142,-260.197,-281.142
C38,1.0uF/25V,BottomLayer,0402_C,-592.008,-302.992,90,贴片电容,-592.008,-302.992,-592.008,-319.724
